L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.6609772,1.112838,-0.156567,-0.1195912,-0.1283229,0.01790554,-1.504994,-1.072209,2.636446,2.875988
L,-0.6655149,1.110134,-0.1562956,-0.3196847,-0.1904982,0.01911449,-14.09657,-4.380239,0.08517024,2.890182
L,-0.6671993,1.110486,-0.1563753,-0.1118084,0.0233366,-0.005289116,13.79933,14.19486,-1.619969,2.905247
L,-0.6687185,1.110532,-0.1564908,-0.1034953,0.00316723,-0.007869348,0.566324,-1.374033,-0.1757776,2.919926
L,-0.6687489,1.111264,-0.1565527,-0.0004496719,0.01080445,-0.0009136436,1.521334,0.1127535,0.1026918,2.987659
L,-0.6678475,1.112507,-0.15541,0.06477436,0.08931264,0.08211798,4.686976,5.641571,5.966623,3.001575
L,-0.6667375,1.115564,-0.1542471,0.04312157,0.1187713,0.04517484,-0.8411602,1.1444,-1.435154,3.027317
L,-0.6641659,1.120212,-0.1537424,0.09014776,0.1629363,0.01769148,1.64852,1.54822,-0.9634393,3.055843
L,-0.6622787,1.122006,-0.1536419,0.1321759,0.1256011,0.007041269,2.943474,-2.614798,-0.745896,3.070122
L,-0.6609852,1.123241,-0.1535916,0.04833616,0.04615111,0.001877116,-3.133013,-2.968973,-0.1929796,3.096882
L,-0.6576596,1.124683,-0.1517375,0.1200305,0.05205321,0.0669231,2.587668,0.2130252,2.34771,3.124588
L,-0.6564736,1.12612,-0.1513297,0.04367668,0.05292041,0.01501859,-2.811982,0.03193749,-1.911556,3.151741
L,-0.6563092,1.126006,-0.1507929,0.005919471,-0.004090831,0.0193295,-1.359591,-2.052906,0.1552306,3.179512
L,-0.6562371,1.125925,-0.1501563,0.002598797,-0.002912371,0.02293653,-0.1196556,0.04246408,0.1299742,3.207264
L,-0.6561781,1.126135,-0.1499043,0.002167402,0.007688805,0.009256887,-0.01584526,0.3893842,-0.5024573,3.234489
L,-0.6551248,1.125712,-0.1493783,0.03803159,-0.01526343,0.0189932,1.294984,-0.828759,0.3515586,3.262184
L,-0.6533448,1.124925,-0.1489221,0.06320263,-0.02794426,0.01619641,0.8937337,-0.4502512,-0.09930383,3.290348
L,-0.6525584,1.125134,-0.148751,0.02881474,0.007661798,0.006269984,-1.260075,1.304713,-0.3637342,3.317638
L,-0.6518276,1.12477,-0.1475083,0.02617043,-0.01303613,0.04449849,-0.09468488,-0.7411334,1.368853,3.345566
L,-0.6528556,1.125042,-0.1447363,-0.03725463,0.009845003,0.1004501,-2.298383,0.8291611,2.027562,3.373161
L,-0.6556268,1.125912,-0.1410215,-0.100074,0.0314179,0.134153,-2.268595,0.779061,1.217109,3.400852
L,-0.6551926,1.127139,-0.1391051,0.01560144,0.04410127,0.06886566,4.15677,0.4557738,-2.346083,3.42868
L,-0.6490232,1.132164,-0.1350439,0.2173452,0.1770175,0.1430745,7.107367,4.682597,2.614352,3.457066
L,-0.6413966,1.138205,-0.1301144,0.2795003,0.2213931,0.1806568,2.277868,1.626282,1.377322,3.484352
