L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.6111411,1.219256,-0.1405598,0.3912695,0.4932175,0.1633706,-11.69027,-15.18153,-5.026114,2.216782
L,-0.604099,1.228154,-0.1374576,0.5133612,0.6486374,0.2261508,8.900334,11.32992,4.576602,2.230499
L,-0.5984793,1.23521,-0.1350041,0.4065044,0.5104253,0.1774757,-7.729546,-9.997646,-3.520941,2.244324
L,-0.5937921,1.241051,-0.1329698,0.3327114,0.4145681,0.1444001,-5.238126,-6.804328,-2.347838,2.258411
L,-0.5886613,1.246057,-0.1360964,0.3210865,0.3132982,-0.1956575,-0.7274764,-6.337381,-21.28051,2.274391
L,-0.5841489,1.250618,-0.1380671,0.3376793,0.3413413,-0.1474763,1.24171,2.098583,3.605603,2.287754
L,-0.5834675,1.256317,-0.1377054,0.05219444,0.4365776,0.02770447,-21.86971,7.295624,13.41981,2.300808
L,-0.5821544,1.261488,-0.1373015,0.1037788,0.4086241,0.0319189,4.076738,-2.209178,0.3330686,2.313461
L,-0.5804766,1.266131,-0.1368963,0.1207944,0.3342832,0.02917618,1.225085,-5.352386,-0.19747,2.327351
L,-0.5765433,1.270235,-0.1372931,0.2718453,0.2836722,-0.02742614,10.43952,-3.497854,-3.911932,2.34182
L,-0.5729157,1.274353,-0.1374694,0.2613902,0.2967204,-0.01270014,-0.7533694,0.9402144,1.061114,2.355698
L,-0.5699743,1.277135,-0.1334514,0.2183739,0.2065013,0.2982977,-3.193562,-6.697927,23.0887,2.369167
L,-0.5670133,1.280291,-0.1302596,0.2179777,0.2323347,0.234963,-0.0291603,1.901727,-4.662402,2.382751
L,-0.564078,1.283661,-0.1277027,0.2063472,0.2369352,0.1797535,-0.8176119,0.323409,-3.881156,2.396976
L,-0.5615252,1.287977,-0.1254201,0.1815484,0.3069723,0.1623298,-1.76366,4.98096,-1.239152,2.411037
L,-0.5588961,1.292171,-0.1234366,0.1914497,0.3053906,0.1444396,0.7209852,-0.1151758,-1.302728,2.42477
L,-0.5543291,1.298003,-0.1211302,0.3178978,0.4059264,0.1605411,8.801811,6.9981,1.120795,2.439137
L,-0.5502211,1.303325,-0.1190864,0.2965781,0.3842605,0.1475564,-1.5392,-1.564189,-0.9374419,2.452988
L,-0.5444281,1.31283,-0.1075689,0.4300835,0.7056429,0.8550688,9.911542,23.85966,52.52623,2.466457
L,-0.5393315,1.321002,-0.09854104,0.3601162,0.5774174,0.6378948,-4.943803,-9.060251,-15.34525,2.48061
L,-0.5346987,1.328255,-0.09125564,0.3231648,0.5059623,0.5082023,-2.577597,-4.984446,-9.046863,2.494946
L,-0.5272094,1.334565,-0.09150995,0.5395112,0.4545033,-0.01832041,15.58503,-3.706968,-37.92931,2.508827
L,-0.5207064,1.340613,-0.09073836,0.4709168,0.4379748,0.05587556,-4.967298,-1.19692,5.372936,2.522636
L,-0.511103,1.348528,-0.0846834,0.6893398,0.568139,0.4346308,15.67861,9.343311,27.1874,2.536568
L,-0.5028535,1.35584,-0.0793535,0.6182327,0.5479828,0.399428,-5.32884,-1.510533,-2.638133,2.549911
L,-0.4955376,1.362725,-0.07454754,0.530662,0.4994466,0.3486036,-6.352004,-3.520603,-3.686581,2.563698
L,-0.4867568,1.366313,-0.07314315,0.6179383,0.2524916,0.09883285,6.142005,-17.37927,-17.57743,2.577908
L,-0.4788437,1.37054,-0.07111821,0.57446,0.3068229,0.1470031,-3.156354,3.944231,3.496964,2.591682
L,-0.4591094,1.382765,-0.06490599,1.411911,0.874693,0.444458,59.91616,40.62875,21.28167,2.605659
L,-0.4427177,1.393385,-0.05939788,1.166389,0.7556834,0.391943,-17.47074,-8.468419,-3.736835,2.619713
L,-0.4228714,1.401396,-0.05586194,1.413366,0.5705056,0.2518136,17.58861,-13.18751,-9.979375,2.633755
L,-0.4059187,1.409035,-0.05226038,1.222229,0.5507082,0.2596614,-13.78042,-1.427333,0.5658025,2.647625
L,-0.3909698,1.416472,-0.04859644,1.085834,0.5402552,0.2661343,-9.90722,-0.7592607,0.4701636,2.661392
L,-0.3888342,1.40965,-0.04821959,0.1532097,-0.489455,0.02703614,-66.90797,-73.87312,-17.1533,2.675331
L,-0.384518,1.406593,-0.04693733,0.3078032,-0.2179849,0.09144063,11.02442,19.35916,4.592832,2.689354
L,-0.3425143,1.42988,-0.04491144,3.106946,1.722471,0.1498516,207.0481,143.5324,4.320569,2.702873
L,-0.30775,1.44882,-0.04255361,2.477773,1.34991,0.1680511,-44.84334,-26.55375,1.297137,2.716904
L,-0.2788806,1.464454,-0.03999297,1.939003,1.050058,0.1719851,-36.18635,-20.1395,0.2642278,2.731792
L,-0.241245,1.456853,-0.05462643,2.807612,-0.5670087,-1.091655,64.79813,-120.633,-94.26738,2.745197
L,-0.2087892,1.453654,-0.06416036,2.409543,-0.2374681,-0.7078062,-29.55292,24.46533,28.49718,2.758667
L,-0.1973144,1.446331,-0.06391427,0.798316,-0.5095292,0.01712094,-112.0949,-18.9276,50.43399,2.773041
L,-0.184109,1.442801,-0.06369718,1.01576,-0.2715119,0.01669842,16.72586,18.30834,-0.03250093,2.786041
L,-0.1697633,1.433007,-0.07070406,0.9912043,-0.6767099,-0.4841356,-1.696684,-27.9969,-34.60481,2.800514
L,-0.1542357,1.427059,-0.07574455,1.104309,-0.4230026,-0.3584737,8.043908,18.04337,8.93693,2.814575
L,-0.1379794,1.423393,-0.07958565,1.205853,-0.2719121,-0.2849241,7.532267,11.20754,5.455738,2.828056
L,-0.1276532,1.418648,-0.08446781,0.7009221,-0.3220643,-0.3313905,-34.27359,-3.404221,-3.154035,2.842789
L,-0.1154616,1.415499,-0.08838211,0.9066539,-0.2341844,-0.2910949,15.29968,6.535376,2.996669,2.856236
L,-0.1041294,1.417997,-0.08930717,0.8017982,0.1766869,-0.06545209,-7.418978,29.07084,15.96515,2.870369
L,-0.09143524,1.419877,-0.09050568,0.9755777,0.1445141,-0.09210837,13.35539,-2.472565,-2.048603,2.883381
L,-0.07785582,1.42134,-0.09188214,0.933831,0.100628,-0.09465637,-2.87084,-3.017965,-0.1752212,2.897923
L,-0.07520029,1.42692,-0.09653352,0.193316,0.4061806,-0.3386093,-53.90768,22.24348,-17.75917,2.911659
L,-0.06924731,1.431188,-0.1003729,0.4287195,0.3073747,-0.2765019,16.95319,-7.115762,4.472826,2.925545
L,-0.06534362,1.419982,-0.1078014,0.2722341,-0.7814495,-0.5180483,-10.91293,-75.93209,-16.84489,2.939884
L,-0.05892383,1.412307,-0.1137656,0.4703491,-0.5623603,-0.4369672,14.515,16.05168,5.94045,2.953533
L,-0.07294251,1.400772,-0.1217187,-1.051177,-0.8648992,-0.5963562,-114.09,-22.68557,-11.95162,2.966869
L,-0.07980981,1.392284,-0.1283176,-0.4819868,-0.5957664,-0.4631495,39.94905,18.8893,9.349224,2.981117
L,-0.08248997,1.385577,-0.1341025,-0.1921739,-0.4809047,-0.4147922,20.78028,8.235865,3.467329,2.995064
L,-0.09518272,1.392736,-0.1339099,-0.8906124,0.5023421,0.0135119,-49.00735,68.9915,30.05283,3.009315
L,-0.1025271,1.3972,-0.1348999,-0.563113,0.3422693,-0.07590167,25.11027,-12.27322,-6.855581,3.022358
L,-0.1085618,1.396917,-0.132876,-0.4256042,-0.01995897,0.1427342,9.697904,-25.5464,15.41945,3.036537
L,-0.1119481,1.396315,-0.1323318,-0.2420751,-0.04306995,0.03890591,13.12,-1.652142,-7.422406,3.050526
L,-0.1134734,1.395716,-0.1325866,-0.1088926,-0.04271344,-0.01818874,9.507899,0.025451,-4.075986,3.064533
L,-0.1208458,1.402176,-0.1281878,-0.5028959,0.4406388,0.3000575,-26.8763,32.97109,21.70865,3.079193
L,-0.1258249,1.406627,-0.125565,-0.3525744,0.3151422,0.185722,10.64448,-8.8866,-8.096262,3.093315
L,-0.1299297,1.412659,-0.1190811,-0.2897272,0.4257876,0.4576492,4.435922,7.809648,19.19334,3.107483
